sample_identifier,group_identifier,true_label,probability,predicted_label,error_type,distance_from_threshold,source_representation
test_index_309,not_available_in_prediction_export,1,0.4622741937637329,0,FN,0.05272580623626699,images
test_index_310,not_available_in_prediction_export,1,0.6123259663581848,1,TP,0.09732596635818491,images
test_index_311,not_available_in_prediction_export,1,0.5509965419769287,1,TP,0.03599654197692881,images
test_index_312,not_available_in_prediction_export,1,0.5859317183494568,1,TP,0.07093171834945688,images
test_index_313,not_available_in_prediction_export,1,0.5341684222221375,1,TP,0.01916842222213755,images
test_index_314,not_available_in_prediction_export,1,0.6237300038337708,1,TP,0.10873000383377085,images
test_index_315,not_available_in_prediction_export,1,0.6038258075714111,1,TP,0.08882580757141123,images
test_index_316,not_available_in_prediction_export,1,0.5596499443054199,1,TP,0.04464994430542002,images
test_index_317,not_available_in_prediction_export,1,0.46296626329421997,0,FN,0.05203373670577993,images
test_index_318,not_available_in_prediction_export,1,0.5277472138404846,1,TP,0.012747213840484717,images
test_index_319,not_available_in_prediction_export,1,0.540040135383606,1,TP,0.025040135383606055,images
test_index_320,not_available_in_prediction_export,1,0.546108067035675,1,TP,0.031108067035675147,images
test_index_321,not_available_in_prediction_export,1,0.6306218504905701,1,TP,0.11562185049057017,images
test_index_322,not_available_in_prediction_export,1,0.5265235304832458,1,TP,0.011523530483245947,images
test_index_323,not_available_in_prediction_export,1,0.5913060903549194,1,TP,0.07630609035491953,images
test_index_324,not_available_in_prediction_export,1,0.5077906847000122,0,FN,0.007209315299987695,images
test_index_325,not_available_in_prediction_export,1,0.6031413674354553,1,TP,0.08814136743545542,images
test_index_326,not_available_in_prediction_export,1,0.463265597820282,0,FN,0.05173440217971792,images
test_index_327,not_available_in_prediction_export,1,0.5018550753593445,0,FN,0.01314492464065542,images
test_index_328,not_available_in_prediction_export,1,0.45611879229545593,0,FN,0.05888120770454397,images
test_index_329,not_available_in_prediction_export,1,0.46268919110298157,0,FN,0.052310808897018335,images
test_index_330,not_available_in_prediction_export,1,0.46237945556640625,0,FN,0.05262054443359365,images
test_index_331,not_available_in_prediction_export,1,0.5337910056114197,1,TP,0.018791005611419775,images
test_index_332,not_available_in_prediction_export,1,0.5668938159942627,1,TP,0.05189381599426279,images
test_index_333,not_available_in_prediction_export,1,0.46949952840805054,0,FN,0.045500471591949365,images
test_index_334,not_available_in_prediction_export,1,0.7775155305862427,1,TP,0.2625155305862428,images
test_index_335,not_available_in_prediction_export,1,0.540549099445343,1,TP,0.025549099445343115,images
test_index_336,not_available_in_prediction_export,1,0.6203218698501587,1,TP,0.10532186985015879,images
test_index_337,not_available_in_prediction_export,1,0.6379446387290955,1,TP,0.12294463872909556,images
test_index_338,not_available_in_prediction_export,1,0.629154622554779,1,TP,0.11415462255477915,images
test_index_339,not_available_in_prediction_export,1,0.5424759387969971,1,TP,0.027475938796997168,images
test_index_340,not_available_in_prediction_export,1,0.5370498299598694,1,TP,0.022049829959869482,images
test_index_341,not_available_in_prediction_export,1,0.5233599543571472,1,TP,0.008359954357147314,images
test_index_342,not_available_in_prediction_export,1,0.5673957467079163,1,TP,0.05239574670791636,images
test_index_343,not_available_in_prediction_export,1,0.6059827208518982,1,TP,0.09098272085189829,images
test_index_344,not_available_in_prediction_export,1,0.6971315145492554,1,TP,0.18213151454925547,images
test_index_345,not_available_in_prediction_export,1,0.4596291780471802,0,FN,0.055370821952819727,images
test_index_346,not_available_in_prediction_export,1,0.5279031991958618,1,TP,0.012903199195861914,images
test_index_347,not_available_in_prediction_export,1,0.666169285774231,1,TP,0.15116928577423105,images
test_index_348,not_available_in_prediction_export,1,0.7856716513633728,1,TP,0.2706716513633729,images
test_index_349,not_available_in_prediction_export,1,0.5722804069519043,1,TP,0.057280406951904395,images
test_index_350,not_available_in_prediction_export,1,0.5464725494384766,1,TP,0.03147254943847666,images
test_index_351,not_available_in_prediction_export,1,0.5433228015899658,1,TP,0.028322801589965918,images
test_index_352,not_available_in_prediction_export,1,0.5818122625350952,1,TP,0.06681226253509531,images
test_index_353,not_available_in_prediction_export,1,0.6149786710739136,1,TP,0.09997867107391367,images
test_index_354,not_available_in_prediction_export,1,0.5893545150756836,1,TP,0.07435451507568369,images
test_index_355,not_available_in_prediction_export,1,0.4577125608921051,0,FN,0.0572874391078948,images
test_index_356,not_available_in_prediction_export,1,0.5215764045715332,1,TP,0.006576404571533301,images
test_index_357,not_available_in_prediction_export,1,0.5224347710609436,1,TP,0.007434771060943701,images
test_index_358,not_available_in_prediction_export,1,0.4560142159461975,0,FN,0.05898578405380239,images
test_index_359,not_available_in_prediction_export,1,0.4489556550979614,0,FN,0.06604434490203848,images
test_index_360,not_available_in_prediction_export,1,0.5899975895881653,1,TP,0.07499758958816538,images
test_index_361,not_available_in_prediction_export,1,0.4649052619934082,0,FN,0.0500947380065917,images
test_index_362,not_available_in_prediction_export,1,0.5777352452278137,1,TP,0.06273524522781382,images
test_index_363,not_available_in_prediction_export,1,0.4659568667411804,0,FN,0.04904313325881948,images
test_index_364,not_available_in_prediction_export,1,0.5184813737869263,1,TP,0.0034813737869263672,images
test_index_365,not_available_in_prediction_export,1,0.5619813799858093,1,TP,0.046981379985809424,images
test_index_366,not_available_in_prediction_export,1,0.7565141916275024,1,TP,0.24151419162750254,images
test_index_367,not_available_in_prediction_export,1,0.569907546043396,1,TP,0.054907546043396094,images
test_index_368,not_available_in_prediction_export,1,0.5804654955863953,1,TP,0.06546549558639536,images
test_index_369,not_available_in_prediction_export,1,0.5894164443016052,1,TP,0.07441644430160532,images
test_index_370,not_available_in_prediction_export,1,0.5323255658149719,1,TP,0.01732556581497202,images
test_index_371,not_available_in_prediction_export,1,0.5852054953575134,1,TP,0.07020549535751353,images
test_index_372,not_available_in_prediction_export,1,0.5717734098434448,1,TP,0.05677340984344492,images
test_index_373,not_available_in_prediction_export,1,0.48908689618110657,0,FN,0.025913103818893335,images
test_index_374,not_available_in_prediction_export,1,0.44621187448501587,0,FN,0.06878812551498403,images
test_index_375,not_available_in_prediction_export,1,0.5081870555877686,0,FN,0.006812944412231348,images
test_index_376,not_available_in_prediction_export,1,0.4997715950012207,0,FN,0.0152284049987792,images
test_index_377,not_available_in_prediction_export,1,0.540574848651886,1,TP,0.025574848651886084,images
test_index_378,not_available_in_prediction_export,1,0.5200849175453186,1,TP,0.005084917545318701,images
test_index_379,not_available_in_prediction_export,1,0.5324424505233765,1,TP,0.017442450523376563,images
test_index_380,not_available_in_prediction_export,1,0.502407968044281,0,FN,0.012592031955718896,images
test_index_381,not_available_in_prediction_export,1,0.5408697724342346,1,TP,0.025869772434234717,images
test_index_382,not_available_in_prediction_export,1,0.5307228565216064,1,TP,0.015722856521606543,images
test_index_383,not_available_in_prediction_export,1,0.5953938961029053,1,TP,0.08039389610290537,images
test_index_384,not_available_in_prediction_export,1,0.5674685835838318,1,TP,0.052468583583831885,images
test_index_385,not_available_in_prediction_export,1,0.5393570065498352,1,TP,0.024357006549835303,images
test_index_386,not_available_in_prediction_export,1,0.509671151638031,0,FN,0.0053288483619688964,images
test_index_387,not_available_in_prediction_export,1,0.5461768507957458,1,TP,0.031176850795745947,images
test_index_388,not_available_in_prediction_export,1,0.5282022953033447,1,TP,0.013202295303344824,images
test_index_389,not_available_in_prediction_export,1,0.5307773351669312,1,TP,0.01577733516693125,images
test_index_390,not_available_in_prediction_export,1,0.5476341843605042,1,TP,0.03263418436050425,images
test_index_391,not_available_in_prediction_export,1,0.5306310653686523,1,TP,0.01563106536865244,images
