model,sample_index,true_label,raw_probability,probability,prediction,threshold,outcome_type,confidence_distance_from_threshold
XGBoost,438,0,0.001268899068236351,0.001268899068236351,0,0.6,TN,0.5987311009317636
XGBoost,5,1,0.6683387756347656,0.6683387756347656,1,0.6,TP,0.06833877563476565
XGBoost,294,0,0.0004901266074739397,0.0004901266074739397,0,0.6,TN,0.599509873392526
XGBoost,162,1,0.9994018077850342,0.9994018077850342,1,0.6,TP,0.3994018077850342
XGBoost,4,1,0.95924973487854,0.95924973487854,1,0.6,TP,0.35924973487854006
XGBoost,522,0,0.0021591060794889927,0.0021591060794889927,0,0.6,TN,0.597840893920511
XGBoost,418,0,0.0004889919655397534,0.0004889919655397534,0,0.6,TN,0.5995110080344602
XGBoost,275,0,0.051094040274620056,0.051094040274620056,0,0.6,TN,0.5489059597253799
XGBoost,183,0,0.0002864750276785344,0.0002864750276785344,0,0.6,TN,0.5997135249723214
XGBoost,94,1,0.999221920967102,0.999221920967102,1,0.6,TP,0.3992219209671021
XGBoost,245,0,0.004678652621805668,0.004678652621805668,0,0.6,TN,0.5953213473781943
XGBoost,277,1,0.993939995765686,0.993939995765686,1,0.6,TP,0.39393999576568606
XGBoost,177,1,0.9987043142318726,0.9987043142318726,1,0.6,TP,0.3987043142318726
XGBoost,433,1,0.9995526671409607,0.9995526671409607,1,0.6,TP,0.3995526671409607
XGBoost,553,0,0.0018325095297768712,0.0018325095297768712,0,0.6,TN,0.5981674904702231
XGBoost,346,0,0.003392048878595233,0.003392048878595233,0,0.6,TN,0.5966079511214047
XGBoost,428,0,0.0007090346189215779,0.0007090346189215779,0,0.6,TN,0.5992909653810784
XGBoost,456,0,0.05225752666592598,0.05225752666592598,0,0.6,TN,0.547742473334074
XGBoost,533,1,0.9991135001182556,0.9991135001182556,1,0.6,TP,0.39911350011825564
XGBoost,190,1,0.9942814111709595,0.9942814111709595,1,0.6,TP,0.3942814111709595
XGBoost,487,1,0.999455988407135,0.999455988407135,1,0.6,TP,0.39945598840713503
XGBoost,349,0,0.0002883209672290832,0.0002883209672290832,0,0.6,TN,0.5997116790327709
XGBoost,393,1,0.9995071887969971,0.9995071887969971,1,0.6,TP,0.3995071887969971
XGBoost,71,0,0.0002991579531226307,0.0002991579531226307,0,0.6,TN,0.5997008420468773
XGBoost,128,0,0.08279241621494293,0.08279241621494293,0,0.6,TN,0.517207583785057
XGBoost,125,0,0.000967435713391751,0.000967435713391751,0,0.6,TN,0.5990325642866082
XGBoost,440,0,0.02804001234471798,0.02804001234471798,0,0.6,TN,0.571959987655282
XGBoost,383,0,0.0009944499470293522,0.0009944499470293522,0,0.6,TN,0.5990055500529706
XGBoost,447,0,0.007126619573682547,0.007126619573682547,0,0.6,TN,0.5928733804263174
XGBoost,329,1,0.9890528321266174,0.9890528321266174,1,0.6,TP,0.38905283212661745
XGBoost,130,0,0.0003969933604821563,0.0003969933604821563,0,0.6,TN,0.5996030066395178
XGBoost,308,0,0.001810023095458746,0.001810023095458746,0,0.6,TN,0.5981899769045412
XGBoost,556,0,0.0002134088281309232,0.0002134088281309232,0,0.6,TN,0.599786591171869
XGBoost,348,0,0.001502096769399941,0.001502096769399941,0,0.6,TN,0.5984979032306
XGBoost,123,0,0.004880609456449747,0.004880609456449747,0,0.6,TN,0.5951193905435502
XGBoost,216,0,0.01351578626781702,0.01351578626781702,0,0.6,TN,0.586484213732183
XGBoost,325,0,0.0008386404369957745,0.0008386404369957745,0,0.6,TN,0.5991613595630042
XGBoost,20,0,0.0004619465908035636,0.0004619465908035636,0,0.6,TN,0.5995380534091964
XGBoost,282,1,0.9995823502540588,0.9995823502540588,1,0.6,TP,0.39958235025405886
XGBoost,560,0,0.008634796366095543,0.008634796366095543,0,0.6,TN,0.5913652036339044
XGBoost,503,1,0.9990059733390808,0.9990059733390808,1,0.6,TP,0.39900597333908083
XGBoost,381,0,0.00023085466818884015,0.00023085466818884015,0,0.6,TN,0.5997691453318111
XGBoost,534,0,0.0027413005009293556,0.0027413005009293556,0,0.6,TN,0.5972586994990706
XGBoost,448,0,0.005661298520863056,0.005661298520863056,0,0.6,TN,0.5943387014791369
XGBoost,205,1,0.40927430987358093,0.40927430987358093,0,0.6,FN,0.19072569012641905
XGBoost,75,1,0.9986942410469055,0.9986942410469055,1,0.6,TP,0.39869424104690554
